name,description,address,website,url
6 Sneaton Hall,"This first floor two bedrooms apartment gives wonderful views across the valley to Whitby and compromises of an open plan living room and fully equipped kitchen with dining area. There is one double bedroom and one twin bedroom, two bathrooms, one en-suite with a Victorian style roll-top bath and one with a separate powerful shower. The apartment is fully equipped including bedding, towels, iron and ironing board. A travel cot and high chair can also be provided if required.","Sneaton, Whitby, North Yorkshire, YO22 5HP",http://www.holidaybreakaway.co.uk,https://www.yorkshire.com/view/accommodation/whitby/6-sneaton-hall-728004
5leys Holiday Accommodation-Filey - Shore House,,"Shore House, South Crescent Road, Filey, North Yorkshire, YO14 9JL",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-shore-house-2117882
A Place In The Pines,"Matt is the brains behind A Place In The Pines. He had some trees, a pond, his dogs and a knack for throwing unforgettable barbeques but wasn’t sure what to do with them. Naturally, he scoured the mountains of Switzerland in search of canvas-topped inspiration. He found (and we can’t disagree) that nothing quite beats waking up in the forest to the smell of campfire coffee and bacon, with a day of trudging unknown lands ahead. Lucky for you, he also scribbled down hot baths and homemade sloe gin on his list of must-haves.","Keepers Cottage, Thimbleby, Northallerton, North Yorkshire, DL6 3PY",http://www.aplaceinthepines.co.uk/,https://www.yorkshire.com/view/accommodation/northallerton/a-place-in-the-pines-2042386
5leys Holiday Accommodation-Filey - Sea Breeze House,,"Sea Breeze House, South Crescent Avenue, Filey, North Yorkshire, YO14 9JN",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-sea-breeze-house-2117870
Abbots Green Holiday Lodges,"Abbots Green is the perfect place to spend a relaxing break in the heart of the beautiful Yorkshire countryside. Open all year round, Abbots Green is an exclusive gated lodge development adjacent to York House Holiday Park, offering ","York House Holiday Park , Balk, Thirsk , North Yorkshire, YO7 2AQ",http://www.yorkshire-lodges.co.uk/,https://www.yorkshire.com/view/accommodation/thirsk/abbots-green-holiday-lodges-2032492
5leys Holiday Accommodation-Filey - Flora Dora Cottage,,"Flora Dora, Queen Street, Filey, North Yorkshire, YO14 9HE",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-flora-dora-cottage-2117846
5leys Holiday Accommodation-Filey - Ivy House,,"Ivy House, The Beach, Filey, North Yorkshire, YO14 9LA",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-ivy-house-2117860
28 County House,An oasis of peace in the heart of the city.,"Monkgate Cloisters, Monkgate, York, North Yorkshire, YO31 7NS",http://www.5staryork.co.uk ,https://www.yorkshire.com/view/accommodation/york/28-county-house-2037474
All Seasons Guesthouse,All Seasons Guesthouse has recently been refurbished to a very high standard which was recognised by Enjoy England who gave a 4 star 'Gold ' award 2010. We also recieved the Breakfast Award 2010. All Seasons has just won Guest Accommodation of the Year In the Discover Yorkshire Touism Awards 2010.,"11 Rutland Street, Filey, North Yorkshire, YO14 9JA",http://via.eviivo.com/seasonsyo149ja,https://www.yorkshire.com/view/accommodation/filey/all-seasons-guesthouse-765930
Alexander House,Lovingly restored and completely renovated Victorian Townhouse.,"94 Bishopthorpe Road, York, North Yorkshire, YO23 1JS",http://www.alexanderhouseyork.co.uk,https://www.yorkshire.com/view/accommodation/york/alexander-house-74654
Ackworth School Estates Ltd,"Ackworth School has two boarding houses – Girls’ School House and Boys’ School House. The main aim of both of the houses is to provide a ‘home from home’ – a place where boarders can relax, feel safe, enjoy each other’s company, or at times find a quiet place to wind down or work, and somewhere where they can find support and help if they have any concerns or worries.","Pontefract Road, Ackworth, Pontefract, West Yorkshire, WF7 7LT",http://www.ackworthschool.com/,https://www.yorkshire.com/view/accommodation/pontefract/ackworth-school-estates-ltd-1831722
Alders Caravan Park,"A family run park within a working farm set in beautiful parkland where you may enjoy peace and tranquillity. We are conveniently situated within easy reach of York, Ripon, Harrogate and many National Trust properties, the Yorkshire Moors and Dales and Heritage coastline including Scarborough and Whitby.","Home Farm, Monk Green, Alne, North Yorkshire, YO61 1RY",http://www.alderscaravanpark.co.uk,https://www.yorkshire.com/view/accommodation/alne/alders-caravan-park-75438
"Aldwark Manor Hotel, Golf and Country Club",,"Aldwark, Alne, York, North Yorkshire, YO61 1UF",http://www.qhotels.co.uk/make-a-booking/?hotel=QH00021,https://www.yorkshire.com/view/accommodation/york/aldwark-manor-hotel-golf-and-country-club-2036263
Allerton Court Hotel,"Allerton Court is located on the edge of Northallerton and offers comfortable accommodation, excellent food a good selection of drinks in relaxed and friendly surroundings. Within in the hotel you will find 44 bedrooms, relaxed bar and restaurant together with function and conference suites.","Darlington Road, Northallerton, North Yorkshire, DL6 2XF",http://www.allertoncourthotel.co.uk,https://www.yorkshire.com/view/accommodation/northallerton/allerton-court-hotel-2112990
Allerton Park Holiday Park,“A beautiful quiet setting amongst trees and woods”,"Allerton Park Holiday Park, Allerton Mauleverer, Nr. Knaresborough, North Yorkshire, HG5 0SE",http://www.yorkshireholidayparks.co.uk/allerton-holiday-park/allerton-park/,https://www.yorkshire.com/view/accommodation/nr-knaresborough/allerton-park-holiday-park-2032991
Aldbrough Leisure Park,"With breath-taking sea and lakeside views, Aldbrough Leisure Park offers you the ideal place to relax and unwind.  Set in over 50 acres of manicured parkland and gardens; with a proud record of encouraging and sustaining the wildlife on and around the park – We hold the “David Bellamy Gold Award” for Conservation for 2016.  Our facilities include a children’s adventure play area, Coffee Pot Café and shop, well-equipped launderette, access to 5 top quality fishing lakes and Shires family clubhouse and bar, a great place to relax and meet fellow holiday makers and caravan owners.","Seaside Road, Aldbrough, Hull, East Yorkshire, HU11 4SA",http://www.aldbroughleisurepark.co.uk/,https://www.yorkshire.com/view/accommodation/hull/aldbrough-leisure-park-110520
Albany House,"A stunning Georgian townhouse beautifully furnished throughout with private parking, just a stroll to the beach, harbour, shops, restaurants and bars that sleeps 8/9 people. ","23 Silver Street, Whitby, North Yorkshire, YO21 3BX",http://www.yorkshirecoastalcottages.com,https://www.yorkshire.com/view/accommodation/whitby/albany-house-964578
Akebar Park,"Come and visit Akebar, a stunning touring caravan, camping and holiday home park, set in a designated area of outstanding natural beauty on the edge of the Yorkshire Dales National Park in Lower Wensleydale.","Akebar Park, Wensleydale, Leyburn, North Yorkshire, DL8 5LY",http://www.akebarpark.com,https://www.yorkshire.com/view/accommodation/leyburn/akebar-park-110722
Angrove Park,Angrove Park is an outdoor venue with accommodation. Our wooden cabins sleep up to four adults or a family of five. ,"Winley Hill, Stokesley Road, Great Ayton, North Yorkshire, TS9 6QA",http://www.angrovepark.co.uk/,https://www.yorkshire.com/view/accommodation/great-ayton/angrove-park-1449900
Arches Guest House,"The Arches is a very friendly, family-run guesthouse, which prides itself on cleanliness, a warm welcome and large freshly prepared breakfasts. ","8, Havelock Place, Whitby, North Yorkshire, YO21 3ER",http://www.freetobook.com/affiliates/reservation.php?w_id=14796&w_tkn=oRsVW9NgTVk3QPEJjbq6xwQAzc8Jufk6PpGUy2WvYmANrpUXNUW0JzbUA7oPd,https://www.yorkshire.com/view/accommodation/whitby/arches-guest-house-75740
Ammonite & Water's Edge,"Our recently built Ammonite Cottage offers the perfect opportunity to stay in self-catering luxury accommodation. The fully equipped kitchen with fridge, freezer, dishwasher, washer, microwave and iron is complemented by the dining area, with double doors which lead onto the rear patio area that overlooks the stunning Esk Valley countryside.	","7 Riverside View, Larpool Lane, Whitby, North Yorkshire, YO22 4NZ",http://www.whitby-cottage.com,https://www.yorkshire.com/view/accommodation/whitby/ammonite-and-waters-edge-240492
Apple Tree Cottages,"Three beautifully converted Victorian farm stables offer elegant luxury and peaceful retreats situated on our working farm, surrounded by the beautiful Saltmarshe Delph Nature Reserve and bordered by the River Ouse.","The Dairy Farm, Saltmarshe, Goole, East Yorkshire, DN14 7RX",http://www.appletree-cottages.co.uk/BOOK-NOW.aspx,https://www.yorkshire.com/view/accommodation/goole/apple-tree-cottages-2036944
Ambassador Hotel,"The boutique Ambassador is a unique Victorian hip hotel offering an alluring mix of glamour & contemporary chic. Our chic, upbeat and welcoming hotel boasts unrivalled Sea-Views and we are within easy walking distance of the vibrant town centre & South Bay. Our contemporary bedrooms offer free Wi-Fi, unlimited use of the leisure club, full Yorkshire breakfast, ramp into the building, lift to all floors & free car parking permit! ","Esplanade, Scarborough, North Yorkshire, YO11 2AY",http://www.ambassadorhotelscarborough.co.uk,https://www.yorkshire.com/view/accommodation/scarborough/ambassador-hotel-79156
Argyle House,"Superior 4 star Victorian Whitby Guest House with all en-suite rooms, just 5 minutes walk away from the town's shop, pubs, restaurants and cliff/beach, making it an ideal base to explore the town and the surrounding countryside. Heartbeat & Harry Potter locations are also close.","18 Hudson Street, West Cliff, Whitby, North Yorkshire, YO21 3EP",http://www.argyle-house.co.uk,https://www.yorkshire.com/view/accommodation/whitby/argyle-house-75576
"Apartment 9, Easby Hall","This is a spacious contemporary apartment that has a beautiful aspect with large bay windows overlooking St. Martins-on-the-Hill in South Cliff.  A minutes walk from the Esplanade with its Italian Gardens and access to the Spa Leisure Complex.  It is just off Ramshill Road and is therefore convenient for all the shops, delicatessens, butcher, fresh fish and seafood establishments, and yet only 5 minutes walk from the town and railway station.","Montpellier Terrace, Scarborough, North Yorkshire, YO11 2DB",http://www.lastminutescarborough.co.uk/9easbyhall.htm,https://www.yorkshire.com/view/accommodation/scarborough/apartment-9-easby-hall-669277
Apartment 4 Easby Hall,"This apartment consists of 2 double bedrooms, one en-suite and a family bathroom. A beutifully equipped Kitchen dining has a glorious aspect looking directly out onto the renowned St Martins Church through a large bay with traditional sash windows. ","Montpellier Terrace, Scarborough, Scarborough, North Yorkshire, YO11 2DB",,https://www.yorkshire.com/view/accommodation/scarborough/apartment-4-easby-hall-434991
"Apartment 21, Easby Hall"," This ground floor apartment was renovated in 2004 when the Easby Hall building was modernised throughout. It is consequently decorated in a contemporary style with all the modern conveniences you would expect. Electric central Heating and wireless broadband throughout. We even provide the loan of a laptop during your stay to ensure you can get online. For all guests staying for a week or more we have included 2 day-passes to the Crown Hotel 4 star luxury Spa, Sauna and gym leisure centre just around the corner. Be our guest. kick back and relax.","21 Easby Hall, Montpellier Terrace, Scarborough, North Yorkshire, YO11 2DB",,https://www.yorkshire.com/view/accommodation/scarborough/apartment-21-easby-hall-1185852
Annabel's Abode,"York, Leeds, Beverley, Hull, Doncaster, Selby are within easy reach. Bridlington is 1 hour away.","Annabel's Abode, Grange Farm Cottages', Wressle, Selby, YO8 6EU",http://grange-farm-wressle.co.uk/,https://www.yorkshire.com/view/accommodation/selby/annabels-abode-2112676
Apartments @ 52,"Our apartments have been finished to a high standard, offering spacious sea view apartments with large open living areas, 2 and 3 bedrooms with ensuite bathrooms, ideal for families and couples alike, with a lift to all floors, there's nothing to stop you enjoying our modern lifestyle whilst taking in the classic, breath taking views from the comfort of your apartment.","52 South Marine Drive, Bridlington, East Yorkshire, YO15 3JJ",http://www.apartmentsat52.co.uk/apartments.htm,https://www.yorkshire.com/view/accommodation/bridlington/apartments-at-52-2084321
Ashfield Cottages,"Ashfield Cottages are stone built country cottages, they are spacious, comfortably furnished and well equipped they also have Wi-Fi, with south facing gardens and off street parking.","High Street, Lockton, Pickering, North Yorkshire, YO18 7PZ",http://www.ashfieldcottages.co.uk/,https://www.yorkshire.com/view/accommodation/pickering/ashfield-cottages-2045519
Ash Pit Cottage,,"Westfield Farm, Little Barugh, Malton, North Yorkshire, YO17 6UY",https://www.yorkshire-cottages.info/north-york-moors-and-coast/north-york-moors/ashpit-cottage-iun,https://www.yorkshire.com/view/accommodation/malton/ash-pit-cottage-2078588
Arundel House,"Arundel House is a beautiful Georgian manor house boasting private off street parking. It has recently been taken over by the Booth family who are currently in the process of renovating and modernising the property. The majority of the rooms have views of the Abbey and Pannet Park. It is ideally located for Whitby town centre which is only a 5 minute walk away. Our comfortable rooms, each of which is dedicated to a prominent character from local history, are all en-suite and have television and hospitality trays. For that special occasion we have the superior Sutcliffe room and we also have twin and single rooms. We offer an excellent choice of breakfast including vegetarian option, famous locally smoked kippers, or to set you up for the day our hearty English breakfast.","Bagdale, Whitby, North Yorkshire, YO21 1QJ",http://www.arundelhousehotel.co.uk,https://www.yorkshire.com/view/accommodation/whitby/arundel-house-73359
Ascot House Hotel,"The Ascot House was originally built in 1892 by Mr W H Baxter as a traditional Victorian family residence. It has now been elegantly transformed into a 19-bedroom hotel. All 19 bedrooms are ensuite with extremely comfy beds, modern amenities and characterful features.","53 Kings Road, Harrogate, North Yorkshire, HG1 5HJ",http://www.ascothouse.com,https://www.yorkshire.com/view/accommodation/harrogate/ascot-house-hotel-74910
Artists’ Cottages (Artists’ Corner),Artists’ Corner. Spacious and bright with classic interiors.,"Harrogate, North Yorkshire",https://www.harrogateholidays.co.uk,https://www.yorkshire.com/view/accommodation/harrogate/artists-cottages-artists-corner-2105738
Artists’ Cottages (Artists’ House),"This elegantly traditional mid Terrace Victorian property has been furnished with a combination of antiques, modern and upcycled pieces making for a fusion of styles. Steeped in history, this house was built in the early 19th century and is the perfect weekend away.","Harrogate, North Yorkshire",https://www.harrogateholidays.co.uk,https://www.yorkshire.com/view/accommodation/harrogate/artists-cottages-artists-house-2105778
Artists’ Cottages (Artists’ Loft),"This property is nestled away in the fashionable south side of Harrogate, making for the perfect chocolate box romantic getaway for couples.","Harrogate, North Yorkshire",https://www.harrogateholidays.co.uk,https://www.yorkshire.com/view/accommodation/harrogate/artists-cottages-artists-loft-2105789
Aysgarth Lodge Holidays,,"Westholme Bank, Aysgarth, Leyburn, North Yorkshire, DL8 3SP",https://leisureresorts.co.uk/parks/aysgarth/,https://www.yorkshire.com/view/accommodation/leyburn/aysgarth-lodge-holidays-2115349
"Ashfield Cottages, Garden Room",ASHFIELD GARDEN ROOM,"Garden Room, Lockton, Pickering, North Yorkshire, YO18 7PZ",http://www.ashfieldcottages.co.uk/,https://www.yorkshire.com/view/accommodation/pickering/ashfield-cottages-garden-room-2045532
Art Hostel,,"83 Kirkgate, Leeds, West Yorkshire, LS2 7DJ",http://arthostel.org.uk/,https://www.yorkshire.com/view/accommodation/leeds/art-hostel-2087442
Arran in Scarborough,"ARRAN is a B&B guest house with full English breakfast in a Victorian townhouse at 114 North Marine Road in North Bay, Scarborough. The accommodation is clean, cosy and comfortable with bay windows, high ceilings and good size rooms located in a quiet location that is less than 10 minutes stroll to the waterfront, city centre, Peasholm Park and Scarborough Castle.","114 North Marine Road, Scarborough, North Yorkshire, YO12 7JA",http://secure.hotels.uk.com/webbookings/?arrivaldate=26/01/2016&HotelID=32050&RefID=&arrival=2016-01-26&numnights=1&town=&county=&referrer=&masterUrl=&BookNow=Check%20Availability&token=e99b7dc08e2da2333bdd098987f41ca0&token=e99b7dc08e2da2333bdd098987f41ca0,https://www.yorkshire.com/view/accommodation/scarborough/arran-in-scarborough-77369
Avondale Holiday Flats,"Avondale Holiday Flats are self catering establishments located in Scarborough. Flats 1,2,4 and 6 have extensive sea views. Flats 1 and 7 are ground-floor flats with 4'6"" wall bed, lounge/kitchen area. Shower/toilet room.","75 Queens Parade, Scarborough, North Yorkshire, YO12 7HY",http://www.avondaleholidayflats.co.uk/flats.html,https://www.yorkshire.com/view/accommodation/scarborough/avondale-holiday-flats-175219
Avondale Guest House,A Traditional bed and breakfast offering comfortable en-suite rooms and a superb choice of breakfast menu. We are family run and a five minute walk from the city centre. Why not try our Whisky porridge during your stay Please note that bookings over the weekends must be two nights minimum.,"61 Bishopthorpe Road, York, North Yorkshire, YO23 1NX",http://www.avondaleguesthouse.co.uk,https://www.yorkshire.com/view/accommodation/york/avondale-guest-house-71209
Avenue Cottage,"Avenue Cottage, to sleep 6 plus 1 small dog, an original stone built cottage in Masham, has been renovated and extended in a modern style, sits detached from its neighbours and is the last house in The Avenue with walks from the doorstep to open countryside. Sitting on one of the main routes into Masham, the houses line one side of The Avenue overlooking the River Ure. ","Masham, North Yorkshire, HG4 4DB",https://www.countryhideaways.co.uk/cottages/nidderdale/masham/avenue-cottage,https://www.yorkshire.com/view/accommodation/masham/avenue-cottage-1221457
Askrigg Cottages,"Chapel End is a former Chapel in Bainbridge sitting at the southern end of the large village green with its old bell and clock.  The garden overlooks the green and watches the world go by.  It is furnished traditionally and full of book and games to while away the time, when not our walking the fells or browsing in the shops.","Whitfield, Helm, Leyburn, North Yorkshire, DL8 3JF",http://www.askrigg-cottages.co.uk,https://www.yorkshire.com/view/accommodation/leyburn/askrigg-cottages-77187
Atlanta,"The Atlanta is a guest house establishment located in Scarborough. We are a small, friendly guest house offering every comfort with good home cooking. ","60-62 Columbus Ravine, Scarborough, North Yorkshire, YO12 7QU",http://www.atlanta-hotel.co.uk,https://www.yorkshire.com/view/accommodation/scarborough/atlanta-77075
Astor York Hostel,"Astor York is set in a beautiful Grade II listed building just minutes’ walk to the historic centre! With a huge cozy lounge, and dining areas, free WiFi throughout the building and every room ensuite, Astor York is the perfect base for exploring the incredible historic centre of York.","124 Holgate Road, York, North Yorkshire, YO24 4BB",https://astor.cloudbeds.com,https://www.yorkshire.com/view/accommodation/york/astor-york-hostel-2115083
Ashfield House,"Ashfield House is a secluded 17th Century House in the heart of Grassington, a Grade II listed house, retaining many period features. Located in a quiet retreat down a private cobbled lane but only 50 metres from the popular village square.","Summers Fold, Grassington, North Yorkshire, BD23 5AE",http://www.ashfieldhouse.co.uk/,https://www.yorkshire.com/view/accommodation/grassington/ashfield-house-2090315
Ashness Apartments,"Ashness Apartments are self catering flats located in Harrogate, 'England's Floral Town', which is at the centre of an area of Yorkshire full of places of beauty and interest. Our apartments are situated close to the town centre in St Mary's Avenue, a nice quiet road of fine Victorian town houses. Shops, restaurants and cafes are just a short walk away through the lovely Montpellier Gardens and St Mary's Avenue is an excellent base for the Exhibition and Conference Centre. ","15 St Marys Avenue, Harrogate, North Yorkshire, HG2 0LP",http://www.ashness.com,https://www.yorkshire.com/view/accommodation/harrogate/ashness-apartments-77031
Badger’s Holt,"On the southern fringes of the ancient market town of Masham the Victorian terraces give way to 20th century detached homes in a peaceful setting with spacious gardens alongside Thorpe Road. Here on the very edge of the town stands Badger Garth and within its private grounds the recent development of Badgers Holt, to sleep 6, with a traditional exterior but built to very modern standards including all the refinements and benefits of modern design and technology.","Masham, North Yorkshire, HG4 4JB",https://www.countryhideaways.co.uk/cottages/nidderdale/masham/badgers-holt,https://www.yorkshire.com/view/accommodation/masham/badger-s-holt-1670218
Barn Owl Cottage,,"Street Farm, Bridlington Road, Full Sutton, York, North Yorkshire, YO41 1HJ",https://secure.supercontrol.co.uk/availability/availability_grid.asp?ownerID=3513&siteID=13677,https://www.yorkshire.com/view/accommodation/york/barn-owl-cottage-2036351
Barnfield House,A warm welcome and first class hospitality await you at our luxury accommodation located in the beautiful surroundings of Loxley Valley on the edge of the National Peak Park.,"Loxley Road, Loxley, Sheffield, South Yorkshire, S6 6RW",http://www.barnfieldhouse.com,https://www.yorkshire.com/view/accommodation/sheffield/barnfield-house-586350
Barn Loft Cottage,"There are five steps up into the Barnloft.  Inside the large lounge leads through into a fully equipped kitchen and dining area.  There are 3 steps to the two bedrooms, one with a double bed, the second with twins.  The bathroom has a bath but no shower.  ","Cawder Lane, Skipton, North Yorkshire, BD23 2TD",http://www.cawderhallcottages.co.uk,https://www.yorkshire.com/view/accommodation/skipton/barn-loft-cottage-1127186
Barmston Farm Holiday Park (Cottages),"Barmston Farm Holiday Park is a small quiet friendly site set on a farm, with three luxury 2 bedroom cottages (sleep4) and five 3 bedroom caravans (sleeping 6). The caravans are set around a large ornamental pond in a quite farm setting. There is a well stocked three acre fishing lake in an adjacent field. The farm abuts 270 acres of accessible common land available for walking / recreation. Some of the accommodation is pet friendly, and there is also a pub which serve food within walking distance. All shopping and leisure facilities (cinema, swimming and bowling) only 5 mins away.","Barmston Lane, Woodmansey, Beverley, East Yorkshire, HU17 0TP",http://www.barmstonfarm.co.uk,https://www.yorkshire.com/view/accommodation/beverley/barmston-farm-holiday-park-cottages-2085300
Bank Villa,"Liz and Graham provide a friendly Yorkshire welcome in their, relaxing and comfortable Georgian home. A perfect location for visiting Black Sheep and Theakstons breweries, Masham’ markets square, shops, pubs and galleries.","North Yorkshire, Masham, North Yorkshire, HG4 4DB",http://www.freetobook.com/affiliates/reservation.php?w_id=1867&w_tkn=BCUCex8XpTfx6kxxXFhewgrUorccXKVQhoHfD8v5fwQxKHoPwLSPgE7AF1KJm,https://www.yorkshire.com/view/accommodation/masham/bank-villa-74937
Beechlands B&B,"All guests arriving at Beechlands bed and breakfast near Whitby are assured of a warm welcome and very comfortable accommodation with countryside views. In the village there are 2 pubs, a café, Butcher, Baker, General Store, Post Office, Fish & Chip Restaurant, and garden centre with a riverside café.","1 The Avenue, Sleights, Whitby, North Yorkshire, YO22 5BS",http://www.sleightswhitbybandb.co.uk,https://www.yorkshire.com/view/accommodation/whitby/beechlands-bandb-1231344
Barmston Farm Holiday Park (Caravans),"Barmston Farm Holiday Park is a small quiet friendly site set on a farm, with three luxury 2 bedroom cottages (sleep4) and five 3 bedroom caravans (sleeping 6). The caravans are set around a large ornamental pond in a quite farm setting. There is a well stocked three acre fishing lake in an adjacent field. The farm abuts 270 acres of accessible common land available for walking / recreation. Some of the accommodation is pet friendly, and there is also a pub which serve food within walking distance. All shopping and leisure facilities (cinema, swimming and bowling) only 5 mins away.","Barmston Lane, Woodmansey, Beverley, East Yorkshire, HU17 0TP",http://www.barmstonfarm.co.uk,https://www.yorkshire.com/view/accommodation/beverley/barmston-farm-holiday-park-caravans-2085306
Bainbridge Ings Caravan and Camping Site,"Bainbridge Ings Caravan and Camping site in Hawes is a a quiet, clean, family-run site. Pitches are situated around the edge of walled open fields with magnificent views of the Yorkshire Dales. You can be assured of a warm welcome. A ten minute walk, or two minutes by car from the popular market town of Hawes, 0.5 miles, a ten minute walk from the Pennine Way, and a 5 minute walk from the Tour de France 2014 route. Fishing 0.5 mile away. An ideal base  for walking and  touring the dales. We are hiker and cyclist friendly, with special rates, laundry and drying facilities.","Bainbridge Ings Caravan And Camping Site, Hawes, North Yorkshire, DL8 3NU",http://www.bainbridge-ings.co.uk,https://www.yorkshire.com/view/accommodation/hawes/bainbridge-ings-caravan-and-camping-site-70759
Barmston Beach Holiday Park - Parkdean Resorts,"For a relaxing holiday, this peaceful park is the place for you. Barmston beach is a peaceful park with cliff-top views and plenty to do. Keep the kids entertained swimming in the outdoor pool complete with waterslide, or running around the adventure playground and soft play area. There is entertainment to keep everyone happy.","Sands Lane, Barmston, Driffield, East Yorkshire, YO25 8PJ",https://www.parkdeanresorts.co.uk/,https://www.yorkshire.com/view/accommodation/driffield/barmston-beach-holiday-park-parkdean-resorts-2066005
Bagdale Hall,"The rooms in Bagdale Hall remain much of the character of the original house with beamed ceilings, four-poster beds and stone mullioned windows with leaded-lights. There are some spectacular fireplaces and original features, complimented by traditional, comfortable furnishings. ","1 Bagdale, Whitby, North Yorkshire, YO21 1QL",http://www.bagdale.co.uk,https://www.yorkshire.com/view/accommodation/whitby/bagdale-hall-113490
Barton Cottage,"One of the smaller dwellings in the pretty village of West Burton is Barton Cottage, to sleep 2, which faces onto the green, and overlooks the village cross but once inside the cottage, however, a surprisingly spacious interior is revealed.","West Burton, Leyburn, North Yorkshire, DL8 4JX",https://www.countryhideaways.co.uk/cottages/wensleydale/west-burton/barton-cottage,https://www.yorkshire.com/view/accommodation/leyburn/barton-cottage-885855
